RETAIL PRICE OF PETROLEUM PRODUCTS IN BANGKOK,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,UNIT:BATH/LITRE,
,   1. GASOLINE,,,,,,2.KEROSENE,         3. DIESEL,,,4. FUEL OIL,,5. LPG ,,,,
PRODUCTS,ULG,UGR,GASOHOL 95,,,GASOHOL,,HSD,B5,LSD,600,1500,LOW INCOME,COOKING,INDUSTRY,AUTOBILE,
,95,91,(E10),(E20),(E85),91,,,,,(2%S),(2%S),HOUSEHOLD,,,,
,,,,,,,,,,,,,(B/Kg) ,(B/Kg) ,(B/Kg) ,(B/Kg) ,(BAHT/L) 
2003     (MIN),16.6,15.65,,,,,15.6,14.03,,13.58,10.38,10.02,,14.87,,14.88,8.05
      (WT.AVG)   ,16.6,15.65,,,,,16.71,14.03,,13.73,11,10.36,,14.87,,14.88,8.05
            (MAX),16.6,15.65,,,,,17.41,14.03,,13.85,12.4,11.8,,14.87,,14.88,8.05
    -JAN (MIN),16.8,15.8,,,,,15.32,14.65,,14.19,10.46,10.2,,14.6,,14.81,8.01
          (WT.AVG)   ,16.8,15.8,,,,,16.89,14.65,,14.35,10.94,10.47,,14.6,,14.81,8.01
          (MAX),16.8,15.8,,,,,17.3,14.65,,14.47,11.29,10.81,,14.6,,14.81,8.01
    -FEB (MIN),17.07,16.07,,,,,15.67,14.87,,14.44,10.98,10.71,,14.81,,14.81,8.01
          (WT.AVG)   ,17.07,16.07,,,,,17.23,14.87,,14.53,11.66,11.1,,14.81,,14.81,8.01
          (MAX),17.07,16.07,,,,,17.68,14.87,,14.62,12.61,12.12,,14.81,,14.81,8.01
    -MAR (MIN),16.99,15.99,,,,,16.4,14.79,,14.38,11.54,10.94,,14.81,,14.81,8.01
          (WT.AVG)   ,16.99,15.99,,,,,17.38,14.79,,14.52,11.97,11.38,,14.81,,14.81,8.01
          (MAX),16.99,15.99,,,,,17.7,14.79,,14.65,13.41,12.91,,14.81,,14.81,8.01
    -APR (MIN),16.86,15.86,,,,,16.36,14.66,,14.25,10.78,10.12,,14.81,,14.81,8.01
          (WT.AVG)   ,16.86,15.86,,,,,16.97,14.66,,14.39,11.35,10.83,,14.81,,14.81,8.01
          (MAX),16.86,15.86,,,,,17.27,14.66,,14.52,12.77,12.27,,14.81,,14.81,8.01
    -MAY (MIN),16.25,15.25,,,,,15.96,14.01,,13.6,10.33,9.81,,14.81,,14.81,8.01
          (WT.AVG)   ,16.25,15.25,,,,,16.33,14.01,,13.74,10.77,10.28,,14.81,,14.81,8.01
          (MAX),16.25,15.25,,,,,16.66,14.01,,13.88,11.73,11.23,,14.81,,14.81,8.01
    -JUN (MIN),15.41,14.41,,,,,14.96,12.84,,12.43,10.06,9.8,,14.81,,14.81,8.01
          (WT.AVG)   ,15.41,14.41,,,,,15.88,12.84,,12.57,10.62,9.98,,14.81,,14.81,8.01
          (MAX),15.41,14.41,,,,,16.66,12.84,,12.7,11.97,11.47,,14.81,,14.81,8.01
    -JUL (MIN),16.34,15.34,,,,,14.96,13.03,,12.62,10.06,9.83,,14.81,,14.81,8.01
          (WT.AVG)   ,16.34,15.34,,,,,16.05,13.03,,12.76,10.86,10.15,,14.81,,14.81,8.01
          (MAX),16.34,15.34,,,,,16.94,13.03,,12.89,12.44,11.63,,14.81,,14.81,8.01
    -AUG (MIN),17.19,16.19,,,,,15.48,13.64,,13.22,10.06,9.83,,14.81,,14.81,8.01
          (WT.AVG)   ,17.19,16.19,,,,,16.62,13.64,,13.36,10.87,10.15,,14.81,,14.81,8.01
          (MAX),17.19,16.19,,,,,17.74,13.64,,13.5,12.45,11.63,,14.81,,14.81,8.01
    -SEP (MIN),16.36,15.44,,,,,15.49,13.63,,13.22,10.06,9.8,,14.81,,14.81,8.01
          (WT.AVG)   ,16.36,15.44,,,,,16.63,13.63,,13.37,10.74,10.03,,14.81,,14.81,8.01
          (MAX),16.36,15.44,,,,,17.74,13.63,,13.49,12.45,11.63,,14.81,,14.81,8.01
    -OCT (MIN),16.32,15.42,,,,,15.26,13.77,,13.36,10.06,9.74,,14.81,,14.81,8.01
